transaction_id,date,description,amount,type,category,recurring
TXN0001,2026-01-01,Salary,60000.0,Credit,Income,No
TXN0719,2026-01-01,Uber,868.14,Debit,Transport,No
TXN0770,2026-01-01,Amazon,7632.43,Debit,Shopping,No
TXN0825,2026-01-01,Dominos,360.12,Debit,Food,No
TXN1096,2026-01-01,Zepto,3186.35,Debit,Groceries,No
TXN1120,2026-01-01,Amazon,3198.05,Debit,Shopping,No
TXN1488,2026-01-01,Gift,1993.31,Debit,Other,No
TXN1559,2026-01-01,Dominos,1184.24,Debit,Food,No
TXN1933,2026-01-01,Service Payment,1410.05,Debit,Other,No
TXN0002,2026-01-02,House Rent,18000.0,Debit,Housing,Yes
TXN0003,2026-01-02,EMI,10000.0,Debit,EMI,Yes
TXN0254,2026-01-02,Cafe Coffee Day,590.83,Debit,Food,No
TXN0553,2026-01-02,Ajio,2408.43,Debit,Shopping,No
TXN0707,2026-01-02,Metro Recharge,446.56,Debit,Transport,No
TXN0942,2026-01-02,Wallet Transfer,1058.75,Debit,Other,No
TXN0005,2026-01-03,Netflix,649.0,Debit,Entertainment,Yes
TXN0006,2026-01-03,Internet Bill,999.0,Debit,Utilities,Yes
TXN0153,2026-01-03,Ola,245.28,Debit,Transport,No
TXN0410,2026-01-03,BookMyShow,1231.78,Debit,Entertainment,No
TXN0922,2026-01-03,PVR,638.33,Debit,Entertainment,No
TXN1344,2026-01-03,DMart,3037.32,Debit,Groceries,No
TXN1525,2026-01-03,Myntra,3108.9,Debit,Shopping,No
TXN1550,2026-01-03,Gas Bill,2865.63,Debit,Utilities,No
TXN1651,2026-01-03,Myntra,1788.3,Debit,Shopping,No
TXN1944,2026-01-03,Amazon,5065.9,Debit,Shopping,No
TXN0004,2026-01-04,SIP Investment,5000.0,Debit,Investment,Yes
TXN0086,2026-01-04,Airtel,1971.1,Debit,Utilities,No
TXN0167,2026-01-04,Coding Course,4113.62,Debit,Education,No
TXN0354,2026-01-04,YouTube Premium,954.68,Debit,Entertainment,No
TXN1077,2026-01-04,Metro Recharge,1073.63,Debit,Transport,No
TXN1102,2026-01-04,Swiggy,1320.1,Debit,Food,No
TXN1190,2026-01-04,PVR,731.8,Debit,Entertainment,No
TXN1346,2026-01-04,Metro Recharge,168.93,Debit,Transport,No
TXN1367,2026-01-04,Cafe Coffee Day,684.47,Debit,Food,No
TXN1438,2026-01-04,Ola,288.09,Debit,Transport,No
TXN1519,2026-01-04,DMart,558.31,Debit,Groceries,No
